Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,Dropped,TimeInSeconds,msInPresentAPI,msBetweenPresents,AllowsTearing,PresentMode,msUntilRenderComplete,msUntilDisplayed,msBetweenDisplayChange
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.64526950000000,0.01040000000000,3.06170000000000,1,Hardware: Independent Flip,0.14280000000000,0.14280000000000,3.05850000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.64831110000000,0.01870000000000,3.04160000000000,1,Hardware: Independent Flip,0.17080000000000,0.17080000000000,3.06960000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.65141490000000,0.01360000000000,3.10380000000000,1,Hardware: Independent Flip,0.18630000000000,0.18630000000000,3.11930000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.65443830000000,0.01550000000000,3.02340000000000,1,Hardware: Independent Flip,0.13800000000000,0.13800000000000,2.97510000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.65742880000000,0.01020000000000,2.99050000000000,1,Hardware: Independent Flip,0.13100000000000,0.13100000000000,2.98350000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.66039530000000,0.01650000000000,2.96650000000000,1,Hardware: Independent Flip,0.18000000000000,0.18000000000000,3.01550000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.66351850000000,0.01170000000000,3.12320000000000,1,Hardware: Independent Flip,0.14520000000000,0.14520000000000,3.08840000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.66666810000000,0.01140000000000,3.14960000000000,1,Hardware: Independent Flip,0.16980000000000,0.16980000000000,3.17420000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.66985600000000,0.01080000000000,3.18790000000000,1,Hardware: Independent Flip,0.13550000000000,0.13550000000000,3.15360000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.67297610000000,0.01030000000000,3.12010000000000,1,Hardware: Independent Flip,0.13430000000000,0.13430000000000,3.11890000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.67609350000000,0.01060000000000,3.11740000000000,1,Hardware: Independent Flip,0.13470000000000,0.13470000000000,3.11780000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.67922570000000,0.01140000000000,3.13220000000000,1,Hardware: Independent Flip,0.13960000000000,0.13960000000000,3.13710000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.68228310000000,0.01080000000000,3.05740000000000,1,Hardware: Independent Flip,0.18870000000000,0.18870000000000,3.10650000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.68548130000000,0.01090000000000,3.19820000000000,1,Hardware: Independent Flip,0.13990000000000,0.13990000000000,3.14940000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.68854590000000,0.01020000000000,3.06460000000000,1,Hardware: Independent Flip,0.13370000000000,0.13370000000000,3.05840000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.69157680000000,0.01050000000000,3.03090000000000,1,Hardware: Independent Flip,0.13440000000000,0.13440000000000,3.03160000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.69468520000000,0.01440000000000,3.10840000000000,1,Hardware: Independent Flip,0.21260000000000,0.21260000000000,3.18660000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.69793020000000,0.01110000000000,3.24500000000000,1,Hardware: Independent Flip,0.16910000000000,0.16910000000000,3.20150000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.70109550000000,0.01030000000000,3.16530000000000,1,Hardware: Independent Flip,0.18430000000000,0.18430000000000,3.18050000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.70429700000000,0.01560000000000,3.20150000000000,1,Hardware: Independent Flip,0.14650000000000,0.14650000000000,3.16370000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.70739610000000,0.01080000000000,3.09910000000000,1,Hardware: Independent Flip,0.14030000000000,0.14030000000000,3.09290000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.71049380000000,0.01070000000000,3.09770000000000,1,Hardware: Independent Flip,0.14060000000000,0.14060000000000,3.09800000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.71351790000000,0.01160000000000,3.02410000000000,1,Hardware: Independent Flip,0.13620000000000,0.13620000000000,3.01970000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.71665170000000,0.08470000000000,3.13380000000000,1,Hardware: Independent Flip,0.21770000000000,0.21770000000000,3.21530000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.71990880000000,0.01560000000000,3.25710000000000,1,Hardware: Independent Flip,0.14050000000000,0.14050000000000,3.17990000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.72302570000000,0.01030000000000,3.11690000000000,1,Hardware: Independent Flip,0.13500000000000,0.13500000000000,3.11140000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.72614680000000,0.01080000000000,3.12110000000000,1,Hardware: Independent Flip,0.13960000000000,0.13960000000000,3.12570000000000
